,location,total_sqft,bath,price,bhk
56,7th Phase JP Nagar,2225.0,3.0,160.0,3
57,7th Phase JP Nagar,1050.0,2.0,71.0,2
58,7th Phase JP Nagar,918.0,2.0,50.49,2
59,7th Phase JP Nagar,1450.0,2.0,100.0,3
60,7th Phase JP Nagar,1420.0,2.0,96.0,3
61,7th Phase JP Nagar,1680.0,3.0,120.0,3
62,7th Phase JP Nagar,980.0,2.0,69.0,2
63,7th Phase JP Nagar,1180.0,2.0,72.0,2
64,7th Phase JP Nagar,1050.0,2.0,57.0,3
65,7th Phase JP Nagar,1270.0,2.0,83.0,2
66,7th Phase JP Nagar,2503.0,4.0,188.0,4
67,7th Phase JP Nagar,1575.0,2.0,110.0,3
68,7th Phase JP Nagar,1850.0,3.0,140.0,3
69,7th Phase JP Nagar,1680.0,3.0,120.0,3
70,7th Phase JP Nagar,1175.0,2.0,82.5,2
71,7th Phase JP Nagar,1215.0,2.0,90.0,2
72,7th Phase JP Nagar,1050.0,2.0,75.0,2
73,7th Phase JP Nagar,1300.0,3.0,89.13,3
74,7th Phase JP Nagar,1130.0,2.0,73.0,2
75,7th Phase JP Nagar,1450.0,3.0,100.0,3
76,7th Phase JP Nagar,1275.0,2.0,87.0,2
77,7th Phase JP Nagar,1650.0,3.0,110.0,3
78,7th Phase JP Nagar,1680.0,3.0,117.0,3
79,7th Phase JP Nagar,1680.0,3.0,125.0,3
80,7th Phase JP Nagar,1000.0,2.0,61.0,2
81,7th Phase JP Nagar,1460.0,2.0,100.0,3
82,7th Phase JP Nagar,1650.0,3.0,110.0,3
83,7th Phase JP Nagar,1000.0,2.0,70.65,2
84,7th Phase JP Nagar,1080.0,2.0,75.0,2
85,7th Phase JP Nagar,1680.0,3.0,125.0,3
86,7th Phase JP Nagar,1460.0,2.0,97.0,3
87,7th Phase JP Nagar,1120.0,2.0,65.0,2
88,7th Phase JP Nagar,1100.0,3.0,60.0,2
89,7th Phase JP Nagar,1790.0,3.0,120.0,3
90,7th Phase JP Nagar,1680.0,3.0,117.0,3
91,7th Phase JP Nagar,1050.0,2.0,77.0,2
92,7th Phase JP Nagar,1050.0,2.0,75.0,2
93,7th Phase JP Nagar,1040.0,2.0,75.0,2
94,7th Phase JP Nagar,1400.0,2.0,95.0,3
95,7th Phase JP Nagar,1800.0,3.0,130.0,3
96,7th Phase JP Nagar,1050.0,2.0,68.0,2
97,7th Phase JP Nagar,1000.0,2.0,60.0,2
98,7th Phase JP Nagar,1680.0,3.0,125.0,3
99,7th Phase JP Nagar,1050.0,2.0,77.47,2
100,7th Phase JP Nagar,1270.0,2.0,80.0,2
101,7th Phase JP Nagar,1680.0,3.0,122.0,3
102,7th Phase JP Nagar,1130.0,2.0,85.0,2
103,7th Phase JP Nagar,1680.0,3.0,112.0,3
104,7th Phase JP Nagar,2095.0,3.0,150.0,3
105,7th Phase JP Nagar,1976.0,3.0,145.0,3
106,7th Phase JP Nagar,1600.0,2.0,110.0,3
107,7th Phase JP Nagar,1765.0,3.0,118.0,3
108,7th Phase JP Nagar,1275.0,2.0,88.0,3
109,7th Phase JP Nagar,1450.0,2.0,102.0,3
110,7th Phase JP Nagar,1575.0,2.0,110.0,3
111,7th Phase JP Nagar,750.0,1.0,47.0,1
112,7th Phase JP Nagar,1000.0,1.0,60.0,1
113,7th Phase JP Nagar,1680.0,2.0,92.0,3
114,7th Phase JP Nagar,1430.0,2.0,102.0,3
115,7th Phase JP Nagar,1420.0,3.0,90.0,3
116,7th Phase JP Nagar,1530.0,2.0,108.0,2
117,8th Phase JP Nagar,1073.5,2.0,54.005,2
118,8th Phase JP Nagar,1240.0,3.0,43.5,3
119,8th Phase JP Nagar,1062.0,2.0,42.47,2
120,8th Phase JP Nagar,1230.0,2.0,43.5,3
121,8th Phase JP Nagar,1455.0,3.0,73.31,3
122,8th Phase JP Nagar,1098.0,2.0,43.91,2
123,8th Phase JP Nagar,1800.0,3.0,80.0,3
124,8th Phase JP Nagar,2700.0,4.0,130.0,4
125,8th Phase JP Nagar,1080.0,2.0,38.0,2
126,8th Phase JP Nagar,1062.0,2.0,42.47,2
127,8th Phase JP Nagar,2100.0,4.0,92.0,4
128,8th Phase JP Nagar,1035.0,2.0,39.33,2
129,8th Phase JP Nagar,909.0,2.0,40.9,2
130,8th Phase JP Nagar,1431.5,3.0,72.02,3
131,8th Phase JP Nagar,1900.0,4.0,90.0,3
132,8th Phase JP Nagar,1089.0,2.0,43.55,2
133,8th Phase JP Nagar,1605.0,2.0,65.0,3
134,8th Phase JP Nagar,2600.0,4.0,115.0,4
135,8th Phase JP Nagar,1368.0,2.0,54.71,3
136,8th Phase JP Nagar,1089.0,2.0,43.55,2
137,8th Phase JP Nagar,1224.0,2.0,48.95,3
138,8th Phase JP Nagar,1513.0,2.0,62.0,2
139,8th Phase JP Nagar,1298.0,2.0,59.0,2
140,8th Phase JP Nagar,1006.0,2.0,44.0,2
141,8th Phase JP Nagar,1245.0,2.0,59.0,2
142,8th Phase JP Nagar,1510.0,2.0,80.0,2
143,8th Phase JP Nagar,3300.0,3.0,165.0,3
144,8th Phase JP Nagar,1730.0,5.0,75.0,5
145,8th Phase JP Nagar,1296.0,2.0,51.83,3
146,8th Phase JP Nagar,1275.0,3.0,45.0,3
147,8th Phase JP Nagar,1046.0,2.0,48.0,2
148,8th Phase JP Nagar,1269.0,2.0,50.75,3
149,8th Phase JP Nagar,1500.0,2.0,55.0,3
150,9th Phase JP Nagar,1005.0,2.0,50.0,2
151,9th Phase JP Nagar,1890.0,2.0,85.0,3
152,9th Phase JP Nagar,1035.0,2.0,45.0,2
153,9th Phase JP Nagar,1164.0,2.0,56.0,2
154,9th Phase JP Nagar,1127.0,2.0,50.0,2
155,9th Phase JP Nagar,1005.0,2.0,43.0,2
156,9th Phase JP Nagar,835.0,2.0,37.0,2
157,9th Phase JP Nagar,1466.0,2.0,71.0,2
158,9th Phase JP Nagar,1890.0,2.0,93.0,3
159,9th Phase JP Nagar,1073.0,2.0,52.36,2
160,9th Phase JP Nagar,1719.3,2.0,88.0,3
161,9th Phase JP Nagar,1780.0,3.0,88.0,3
162,9th Phase JP Nagar,1300.0,2.0,58.0,3
163,9th Phase JP Nagar,1900.0,4.0,80.0,4
164,9th Phase JP Nagar,890.0,2.0,45.0,2
165,9th Phase JP Nagar,1331.95,2.0,69.0,2
166,AECS Layout,1199.0,2.0,65.0,2
167,AECS Layout,1080.0,2.0,55.0,2
168,AECS Layout,1308.0,2.0,60.0,2
169,AECS Layout,2000.0,3.0,90.0,3
170,Abbigere,985.0,2.0,40.39,2
171,Abbigere,765.0,2.0,30.0,1
172,Abbigere,880.0,2.0,35.0,2
173,Abbigere,795.0,2.0,32.54,2
174,Abbigere,1005.0,2.0,39.59,2
175,Abbigere,1020.0,2.0,41.82,2
176,Abbigere,985.0,2.0,40.39,2
177,Abbigere,795.0,2.0,32.54,2
178,Abbigere,1130.0,2.0,46.33,2
179,Abbigere,795.0,1.0,32.6,2
180,Abbigere,985.0,2.0,38.92,2
181,Abbigere,1000.0,2.0,41.0,2
182,Abbigere,995.0,2.0,40.8,2
183,Abbigere,1020.0,2.0,40.8,2
184,Akshaya Nagar,1070.0,2.0,54.0,2
185,Akshaya Nagar,1662.0,3.0,85.1,3
186,Akshaya Nagar,1410.0,2.0,75.0,3
187,Akshaya Nagar,1662.0,3.0,85.0,3
188,Akshaya Nagar,1662.0,3.0,85.5,3
189,Akshaya Nagar,1280.0,2.0,60.0,2
190,Akshaya Nagar,1430.0,2.0,75.0,3
191,Akshaya Nagar,1419.0,2.0,73.0,3
192,Akshaya Nagar,1280.0,2.0,60.0,2
193,Akshaya Nagar,1092.0,2.0,60.0,2
194,Akshaya Nagar,1690.0,3.0,85.0,3
195,Akshaya Nagar,1700.0,3.0,80.0,3
196,Akshaya Nagar,1897.0,4.0,93.0,3
197,Akshaya Nagar,1884.0,3.0,98.0,3
198,Akshaya Nagar,1314.0,2.0,68.8,2
199,Akshaya Nagar,1690.0,3.0,85.0,3
200,Akshaya Nagar,1265.0,2.0,67.0,2
201,Akshaya Nagar,1126.0,2.0,55.0,2
202,Akshaya Nagar,1662.0,3.0,90.0,3
203,Akshaya Nagar,1420.0,2.0,75.0,3
204,Akshaya Nagar,1890.0,4.0,100.0,3
205,Akshaya Nagar,2650.0,3.0,125.0,3
206,Akshaya Nagar,1690.0,3.0,85.0,3
207,Akshaya Nagar,1113.0,2.0,52.0,2
208,Akshaya Nagar,1820.0,4.0,95.0,3
209,Akshaya Nagar,1896.0,3.0,102.0,3
210,Akshaya Nagar,1300.0,2.0,66.0,2
211,Akshaya Nagar,1225.0,2.0,68.0,2
212,Akshaya Nagar,1421.0,2.0,73.0,3
213,Akshaya Nagar,1893.0,4.0,95.0,3
214,Akshaya Nagar,900.0,2.0,45.0,2
215,Ambalipura,1800.0,3.0,110.0,3
216,Ambalipura,1332.0,2.0,79.0,2
217,Ambalipura,3500.0,3.0,198.0,3
218,Ambalipura,1230.0,2.0,66.25,2
219,Ambalipura,1351.0,2.0,77.0,2
220,Ambalipura,2550.0,4.0,149.0,4
221,Ambalipura,1817.0,3.0,102.0,3
222,Ambalipura,1303.0,2.0,80.0,2
223,Ambalipura,770.0,1.0,43.82,1
224,Ambalipura,1060.0,2.0,58.5,2
225,Ambalipura,1650.0,3.0,100.0,3
226,Ambalipura,1198.0,2.0,80.0,2
227,Ambedkar Nagar,1935.0,4.0,130.0,3
228,Ambedkar Nagar,1424.0,2.0,90.0,2
229,Ambedkar Nagar,1862.0,3.0,120.0,3
230,Ambedkar Nagar,1936.0,4.0,126.0,3
231,Ambedkar Nagar,1862.0,3.0,119.0,3
232,Ambedkar Nagar,1424.0,2.0,90.0,2
233,Ambedkar Nagar,1856.0,3.0,120.0,3
234,Ambedkar Nagar,1852.0,3.0,130.0,3
235,Ambedkar Nagar,1850.0,4.0,120.0,3
236,Ambedkar Nagar,1367.0,2.0,86.0,2
237,Ambedkar Nagar,1409.0,2.0,95.0,2
238,Ambedkar Nagar,1950.0,4.0,120.0,3
239,Ambedkar Nagar,1921.0,4.0,129.0,3
240,Ambedkar Nagar,1920.0,4.0,121.0,3
241,Ambedkar Nagar,1935.0,4.0,125.0,3
242,Ambedkar Nagar,1852.0,4.0,122.0,3
243,Ambedkar Nagar,1950.0,4.0,120.0,3
244,Ambedkar Nagar,1852.0,3.0,125.0,3
245,Ambedkar Nagar,1850.0,4.0,121.0,3
246,Ambedkar Nagar,1425.0,2.0,94.0,2
247,Ambedkar Nagar,2395.0,4.0,150.0,3
248,Amruthahalli,900.0,2.0,40.0,2
249,Amruthahalli,1200.0,2.0,55.0,2
250,Amruthahalli,924.0,2.0,45.0,2
251,Amruthahalli,1200.0,2.0,55.0,2
252,Amruthahalli,1350.0,2.0,63.0,3
253,Amruthahalli,1700.0,3.0,77.0,3
254,Amruthahalli,1450.0,2.0,85.0,3
255,Amruthahalli,1200.0,2.0,55.0,2
256,Amruthahalli,1190.0,2.0,50.0,2
257,Amruthahalli,1202.0,2.0,65.0,2
258,Amruthahalli,1340.0,2.0,75.0,2
259,Anandapura,1167.0,2.0,43.76,2
260,Anandapura,1141.0,2.0,42.79,2
261,Anandapura,1576.0,3.0,59.1,3
262,Anandapura,1200.0,2.0,58.0,2
263,Anandapura,1151.0,2.0,43.1,2
264,Anandapura,1141.0,2.0,42.75,2
265,Anandapura,1151.0,2.0,42.9,2
266,Anandapura,1576.0,3.0,58.0,3
267,Anandapura,1151.0,2.0,43.16,2
268,Anandapura,1200.0,2.0,58.0,2
269,Anandapura,1200.0,2.0,50.0,2
270,Anandapura,1141.0,2.0,50.0,2
271,Anandapura,1576.0,3.0,58.7,3
272,Ananth Nagar,500.0,1.0,14.0,1
273,Ananth Nagar,1100.0,2.0,31.5,2
274,Ananth Nagar,500.0,2.0,14.0,1
275,Ananth Nagar,908.0,2.0,26.0,2
276,Ananth Nagar,500.0,1.0,14.0,1
277,Ananth Nagar,1000.0,2.0,29.7,2
278,Ananth Nagar,850.0,2.0,25.99,2
279,Ananth Nagar,902.0,2.0,25.26,2
280,Ananth Nagar,810.0,2.0,25.5,2
281,Ananth Nagar,890.0,2.0,27.0,2
282,Ananth Nagar,1200.0,2.0,36.0,2
283,Ananth Nagar,1319.0,3.0,37.75,3
284,Ananth Nagar,1319.0,3.0,42.0,3
285,Ananth Nagar,902.0,2.0,25.0,2
286,Ananth Nagar,930.0,2.0,25.99,2
287,Ananth Nagar,500.0,1.0,14.0,1
288,Anekal,1200.0,1.0,36.0,2
289,Anekal,656.0,2.0,22.0,2
290,Anekal,620.0,2.0,22.0,2
291,Anekal,530.0,1.0,18.0,1
292,Anekal,1800.0,3.0,68.0,3
293,Anekal,1200.0,1.0,36.0,2
294,Anekal,1035.0,2.0,38.3,2
295,Anekal,888.0,2.0,34.0,2
296,Anekal,1200.0,2.0,36.1,2
297,Anekal,1200.0,1.0,36.0,2
298,Anekal,766.0,2.0,28.0,2
299,Anekal,620.0,1.0,23.5,2
300,Anekal,1150.0,3.0,45.0,3
301,Anekal,1200.0,1.0,36.0,2
302,Anekal,1200.0,1.0,36.0,2
303,Anekal,456.0,1.0,15.0,1
304,Anekal,1200.0,1.0,36.0,2
305,Anekal,1200.0,1.0,36.0,2
306,Anekal,2400.0,4.0,95.0,3
307,Anekal,1200.0,2.0,36.1,2
308,Anekal,1200.0,2.0,36.1,2
309,Anekal,680.0,1.0,21.0,2
310,Anekal,420.0,1.0,12.5,1
311,Anekal,625.0,1.0,25.0,2
312,Anjanapura,1850.0,4.0,86.0,4
313,Anjanapura,1070.0,2.0,39.0,2
314,Anjanapura,1070.0,2.0,37.0,2
315,Anjanapura,950.0,2.0,40.0,2
316,Anjanapura,1280.0,2.0,45.0,3
317,Anjanapura,710.0,2.0,25.0,2
318,Anjanapura,1347.0,2.0,37.72,3
319,Anjanapura,950.0,2.0,32.0,2
320,Anjanapura,1800.0,4.0,55.0,4
321,Anjanapura,1843.0,3.0,87.54,3
322,Anjanapura,1076.0,2.0,30.13,2
323,Anjanapura,950.0,2.0,30.0,2
324,Ardendale,1750.0,3.0,100.0,3
325,Ardendale,3198.0,4.0,200.0,4
326,Ardendale,1750.0,3.0,100.0,3
327,Ardendale,3200.0,4.0,205.0,4
328,Ardendale,1728.0,3.0,95.0,3
329,Ardendale,1732.46,3.0,92.0,3
330,Ardendale,1224.0,2.0,70.0,2
331,Ardendale,1777.26,3.0,105.0,3
332,Ardendale,1224.0,2.0,67.0,2
333,Ardendale,1723.0,3.0,95.0,3
334,Ardendale,1777.26,3.0,92.0,3
335,Arekere,1740.0,2.0,95.0,3
336,Arekere,1190.0,2.0,55.0,2
337,Arekere,600.0,1.0,28.0,1
338,Arekere,2072.0,3.0,108.0,3
339,Arekere,1100.0,2.0,55.0,2
340,Arekere,900.0,2.0,50.0,2
341,Arekere,2710.0,6.0,142.0,4
342,Arekere,1240.0,2.0,60.0,2
343,Arekere,900.0,2.0,44.5,2
344,Attibele,450.0,1.0,11.0,1
345,Attibele,1600.0,4.0,52.8,4
346,Attibele,656.0,2.0,25.0,2
347,Attibele,400.0,1.0,11.0,1
348,Attibele,400.0,1.0,12.0,1
349,Attibele,400.0,1.0,14.0,1
350,Attibele,500.0,1.0,17.0,1
351,Attibele,395.0,1.0,10.25,1
352,Attibele,1639.0,2.0,40.98,3
353,Attibele,418.0,1.0,12.0,1
354,Attibele,1200.0,2.0,42.0,2
355,Attibele,400.0,1.0,10.0,1
356,Attibele,695.0,1.0,25.0,2
357,Attibele,850.0,1.0,25.0,2
358,Attibele,450.0,1.0,12.5,1
359,Attibele,995.0,1.0,24.88,2
360,Attibele,900.0,1.0,25.0,2
361,Attibele,1174.0,2.0,29.35,2
362,Attibele,782.0,1.0,19.55,1
363,Attibele,1175.0,2.0,29.38,2
364,Attibele,656.0,2.0,25.0,2
365,Attibele,400.0,1.0,11.5,1
366,Attibele,460.0,1.0,13.0,1
367,Attibele,418.0,2.0,11.5,1
368,Attibele,996.0,2.0,24.9,2
369,Attibele,410.0,1.0,10.0,1
370,Attibele,1700.0,3.0,65.0,3
371,Attibele,400.0,1.0,10.25,1
372,Attibele,656.0,2.0,25.0,2
373,Attibele,520.0,1.0,15.0,1
374,BEML Layout,1060.0,2.0,55.0,2
375,BEML Layout,2000.0,3.0,85.0,3
376,BEML Layout,999.0,2.0,45.0,2
377,BEML Layout,2000.0,2.0,85.0,3
378,BEML Layout,1194.0,2.0,65.0,2
379,BEML Layout,1200.0,2.0,67.0,2
380,BEML Layout,2000.0,3.0,85.0,3
381,BEML Layout,2000.0,3.0,85.0,3
382,BEML Layout,1194.0,2.0,65.0,2
383,BTM 2nd Stage,950.0,2.0,52.0,2
384,BTM 2nd Stage,1850.0,3.0,170.0,3
385,BTM 2nd Stage,1200.0,2.0,80.0,2
386,BTM 2nd Stage,1274.0,2.0,70.0,2
387,BTM 2nd Stage,1070.0,2.0,48.0,2
388,BTM 2nd Stage,1280.0,2.0,80.0,2
389,BTM 2nd Stage,1100.0,2.0,70.0,2
390,BTM 2nd Stage,1000.0,2.0,58.0,2
391,BTM 2nd Stage,1265.0,2.0,55.0,2
392,BTM 2nd Stage,2200.0,3.0,220.0,3
393,BTM 2nd Stage,965.0,2.0,56.0,2
394,BTM 2nd Stage,1147.0,2.0,75.0,2
395,BTM 2nd Stage,1750.0,3.0,172.0,3
396,BTM 2nd Stage,1400.0,2.0,90.0,2
397,BTM 2nd Stage,1200.0,2.0,70.0,2
398,BTM 2nd Stage,1100.0,2.0,47.0,2
399,BTM 2nd Stage,930.0,2.0,46.0,2
400,BTM 2nd Stage,1265.0,2.0,55.0,3
401,BTM Layout,1150.0,2.0,63.0,2
402,BTM Layout,3300.0,6.0,165.0,6
403,BTM Layout,1450.0,2.0,81.0,3
404,BTM Layout,1458.0,3.0,79.0,3
405,BTM Layout,935.0,2.0,51.5,2
406,BTM Layout,1020.0,2.0,46.5,2
407,BTM Layout,1300.0,2.0,75.0,3
408,BTM Layout,1540.0,2.0,78.0,3
409,BTM Layout,1196.0,2.0,56.81,2
410,Babusapalaya,1213.0,2.0,41.39,3
411,Babusapalaya,1611.0,2.0,66.0,3
412,Babusapalaya,1167.0,2.0,39.98,3
413,Babusapalaya,1141.0,2.0,46.0,2
414,Babusapalaya,1500.0,2.0,57.0,2
415,Babusapalaya,1141.0,2.0,45.9,2
416,Babusapalaya,1105.0,2.0,40.0,2
417,Babusapalaya,1450.0,2.0,55.99,2
418,Babusapalaya,1100.0,2.0,38.0,2
419,Babusapalaya,1061.0,2.0,38.95,2
420,Badavala Nagar,1494.0,2.0,94.55,3
421,Badavala Nagar,1494.0,2.0,94.55,3
422,Badavala Nagar,1494.0,2.0,94.55,3
423,Balagere,1210.0,2.0,72.0,2
424,Balagere,1205.0,2.0,78.5,2
425,Balagere,1145.0,2.0,65.0,2
426,Balagere,1007.0,2.0,65.0,2
427,Balagere,1205.0,2.0,70.0,2
428,Balagere,1210.0,2.0,74.0,2
429,Balagere,675.0,1.0,45.0,1
430,Balagere,656.0,1.0,43.0,1
431,Balagere,1012.0,2.0,64.0,2
432,Balagere,1007.0,2.0,62.0,2
433,Balagere,1007.0,2.0,67.0,2
434,Balagere,1007.0,2.0,66.0,2
435,Balagere,1210.0,2.0,69.0,2
436,Balagere,1012.0,2.0,65.0,2
437,Balagere,656.0,1.0,38.77,1
438,Balagere,645.0,1.0,39.0,1
439,Balagere,645.0,1.0,41.0,1
440,Balagere,1205.0,2.0,73.87,2
441,Balagere,1205.0,2.0,67.0,2
442,Balagere,1205.0,2.0,79.0,2
443,Banashankari,1470.0,2.0,88.64,3
444,Banashankari,1300.0,2.0,75.0,3
445,Banashankari,1800.0,3.0,115.0,3
446,Banashankari,1125.0,2.0,63.0,2
447,Banashankari,1340.0,2.0,53.6,3
448,Banashankari,1310.0,2.0,80.0,2
449,Banashankari,2600.0,4.0,135.0,3
450,Banashankari,1260.0,2.0,75.0,2
451,Banashankari,1170.0,2.0,46.79,2
452,Banashankari,1350.0,2.0,83.0,3
453,Banashankari,1330.0,2.0,78.0,2
454,Banashankari,1400.0,2.0,78.0,3
455,Banashankari,1020.0,2.0,40.79,2
456,Banashankari,1600.0,2.0,63.98,2
457,Banashankari,1390.0,2.0,86.0,2
458,Banashankari,1460.0,2.0,70.0,2
459,Banashankari,1200.0,2.0,60.0,2
460,Banashankari,1290.0,2.0,80.0,2
461,Banashankari,1186.0,2.0,65.0,2
462,Banashankari,1650.0,3.0,101.0,3
463,Banashankari,1300.0,2.0,55.0,3
464,Banashankari,1181.0,2.0,75.0,2
465,Banashankari,1040.0,2.0,45.0,2
466,Banashankari,1330.0,2.0,77.0,2
467,Banashankari,1200.0,2.0,49.0,2
468,Banashankari,1185.0,2.0,67.0,2
469,Banashankari,1000.0,2.0,50.0,2
470,Banashankari,1650.0,3.0,90.75,3
471,Banashankari,1650.0,3.0,101.0,3
472,Banashankari,1310.0,2.0,80.43,2
473,Banashankari,1430.0,2.0,87.8,2
474,Banashankari,1020.0,2.0,42.83,2
475,Banashankari,1540.0,3.0,80.0,3
476,Banashankari,1683.0,3.0,115.0,3
477,Banashankari,1800.0,3.0,125.0,3
478,Banashankari,1750.0,2.0,89.0,3
479,Banashankari,1770.0,3.0,108.0,3
480,Banashankari,1800.0,3.0,125.0,3
481,Banashankari,1420.0,3.0,66.0,3
482,Banashankari,1200.0,3.0,74.52,3
483,Banashankari,1100.0,2.0,63.0,2
484,Banashankari,1020.0,2.0,40.79,2
485,Banashankari,1260.0,2.0,75.0,2
486,Banashankari,1340.0,2.0,53.6,3
487,Banashankari,1426.0,3.0,85.0,3
488,Banashankari Stage II,1700.0,2.0,150.0,2
489,Banashankari Stage II,1500.0,2.0,120.0,3
490,Banashankari Stage II,1250.0,2.0,110.0,2
491,Banashankari Stage II,1260.0,2.0,95.0,3
492,Banashankari Stage II,2400.0,2.0,300.0,3
493,Banashankari Stage II,1400.0,2.0,100.0,2
494,Banashankari Stage II,2800.0,3.0,425.0,5
495,Banashankari Stage II,3000.0,3.0,450.0,3
496,Banashankari Stage II,1245.0,2.0,125.0,2
497,Banashankari Stage III,1305.0,2.0,58.7,3
498,Banashankari Stage III,1145.0,2.0,58.4,2
499,Banashankari Stage III,1350.0,2.0,68.0,3
500,Banashankari Stage III,2000.0,4.0,100.0,4
501,Banashankari Stage III,1305.0,2.0,59.0,3
502,Banashankari Stage III,1305.0,2.0,60.0,3
503,Banashankari Stage III,1305.0,2.0,59.0,3
504,Banashankari Stage III,1480.0,3.0,75.48,3
505,Banashankari Stage III,1305.0,2.0,59.0,3
506,Banashankari Stage III,3000.0,6.0,150.0,6
507,Banashankari Stage III,1085.0,2.0,50.0,2
508,Banashankari Stage III,1500.0,2.0,100.0,3
509,Banashankari Stage V,1305.0,2.0,49.0,3
510,Banashankari Stage V,1035.0,2.0,35.77,2
511,Banashankari Stage V,1510.0,3.0,47.57,3
512,Banashankari Stage V,1650.0,3.0,51.98,3
513,Banashankari Stage V,1630.0,3.0,51.35,3
514,Banashankari Stage V,1510.0,3.0,47.57,3
515,Banashankari Stage V,1315.0,2.0,49.0,3
516,Banashankari Stage V,1540.0,3.0,48.51,3
517,Banashankari Stage VI,1177.5,2.0,59.935,2
518,Banashankari Stage VI,1160.0,2.0,59.0,2
519,Banashankari Stage VI,1180.0,2.0,59.47,2
520,Banashankari Stage VI,1423.0,2.0,71.73,3
521,Banashankari Stage VI,1392.0,3.0,69.46,3
522,Banashankari Stage VI,1410.5,2.0,70.385,3
523,Banaswadi,1145.0,2.0,55.0,2
524,Banaswadi,1250.0,2.0,60.0,2
525,Banaswadi,1365.0,2.0,73.0,2
526,Banaswadi,1200.0,2.0,60.0,2
527,Banaswadi,1600.0,3.0,74.5,3
528,Banaswadi,1340.0,2.0,73.0,2
529,Banaswadi,1008.0,2.0,52.0,2
530,Banaswadi,1105.0,2.0,57.0,2
531,Banjara Layout,1200.0,2.0,70.0,2
532,Bannerghatta,3012.0,6.0,250.0,4
533,Bannerghatta,1665.0,3.0,110.0,3
534,Bannerghatta,2370.0,4.0,195.0,3
535,Bannerghatta,1070.0,2.0,87.0,2
536,Bannerghatta,1776.0,3.0,124.0,3
537,Bannerghatta Road,1050.0,2.0,65.0,2
538,Bannerghatta Road,1170.0,2.0,66.0,3
539,Bannerghatta Road,595.0,1.0,33.32,1
540,Bannerghatta Road,1380.0,3.0,58.0,4
541,Bannerghatta Road,1460.0,2.0,90.0,3
